,data,label
1509,Möhren und Sellerie ca. 15 Minuten vor Ende der Garzeit zufügen.,1
3923,Währenddessen den Feta-Käse in Scheibchen schneiden und nach den 15 Minuten auf den Fisch legen.,1
15942,(am Besten in einer Grillpfanne),0
20134,Warm oder kalt genießen!,1
18350,Je nach Rolle ergibt das zwischen 12 und 15 Schneckennudeln.,0
20255,Ich serviere dieses Gericht entweder einfach mit geröstetem Schwarzbrot oder auch mit Salzkartoffel (dann evt. auf mehr Flüssigkeit achten).,0
19690,"Dazu gibt`s mediterrane Kartoffelspalten- oder mediterrane Frites, selbstgemacht oder inzwischen schon überall als TK- Ware erhältlich.",0
19890,Dazu passt ein bunter Salat und fertig ist ein schnelles Mittagessen.,0
1391,"Öl in einer Pfanne erhitzen, Knoblauch und Tomaten darin andünsten, Kräuter und Tomatenmark unterrühren und mit Salz, Pfeffer und Zucker abschmecken.",1
20061,"Ich persönlich habe keine Beilage dazu vermisst, natürlich passt z. B. auch ein knackiger Salat.",0
13688,Dann den Anis und das Lorbeerblatt wieder entfernen und den in grobe Stücke geschnittenen Fisch hineinlegen (evtl. auch die Muscheln und Garnelen).,1
19592,"Zugedeckt gehen lassen, bis der Vorteig das doppelte Volumen hat.",1
189,Das Olivenöl in eine sehr heiße Bratpfanne geben und die Pilze hinzufügen.,1
15906,Der Dip wird auf La Réunion zum Würzen der Speisen verwendet.,0
2633,Die Kartoffeln schälen und in Würfel (ca. 2x2 cm) schneiden.,1
19952,Beilage: Langkornreis.,0
3511,"Garen lassen bis die Kartoffeln fast weich sind, dann die gewürfelten Zucchini dazugeben und mitgaren lassen, bis sie weich sind.",1
3815,Das klein gewürfelte Gemüse und den Rosenkohl in die Suppe geben und zugedeckt bei kleiner Hitze 20 Min. köcheln lassen.,1
15881,Tipp: Die Steaks nach dem Einkauf,0
16414,Tipp: Man kann die Muffins vor dem Servieren noch mit Frischkäse bestreichen.,0
18812,Die Masse durch ein nicht zu feinmaschiges Sieb passieren.,1
3365,Es sollten zwei EL übrig bleiben um die Calzone damit von außen zu bestreichen.,1
19765,Der Eintopf schmeckt bestimmt auch mit Butternut oder einem anderen Kürbis sehr gut.,0
20113,Als Beilage Salzkartoffeln.,0
19611,Sehr gut passen zum Beispiel Zucchinischeiben.,0
5645,Milchreis und Salz zugeben und zugedeckt bei kleinster Hitze etwa 25 Minuten köcheln lassen.,1
20418,Die Ursprünge des Rezeptes stammt schließlich aus den arabischen Zeiten Mallorcas und hat bisher jedem geschmeckt.,0
18492,"Dazu passt ein knuspriges Baguette, Tortillas oder Nachos.",0
16625,"Tipp:Wenn die Couscous-Masse zu flüssig ist, kann man sie mit Semmelbröseln binden.",0
19550,"Die Filets sollten nicht durchgebraten sein, da sie sonst trocken werden könnten.",0
1229,"Den Backofen auf 180° vorheizen, dann die Temperatur zurück drehen.",1
244,Die Eier mit einer Prise Salz verquirlen und die Schollenfilets darin wenden.,1
92,Cashewkerne ebenfalls grob hacken.,1
17706,Von oben sind sie jetzt appetitlich braun.,0
18546,Danach noch für ca. 3-4 Minuten bei geringer Temperatur weiterbraten.,1
16390,"Die Schnitzel fest aufrollen, mit Zahnstochern fixieren.",1
17518,"Tipp: Ich bevorzuge inzwischen die Variante mit den Pizzatomaten, schmeckt irgendwie noch ""runder"".",0
18377,"Dazu passt ein frischer, grüner Salat.",0
20072,Gut dazu passt türkisches Fladenbrot.,0
18476,"Als Beilage 4 Portionen, als Hauptgericht 2.",0
17226,Dazu passt am besten Reis.,0
20204,"Man kann nie genug davon machen, es sind immer zu wenig, weil so lecker!",0
20110,Ich fülle dazu die abgetropften Spaghetti (die ruhig noch ein bisschen feucht sein können) wieder in den heißen Topf und stelle ihn wieder auf die ausgeschaltete Kochstelle.,1
1845,Inzwischen Gurken schälen und längs halbieren.,1
19692,Dieses Gericht enthält 8 P.,0
19823,Guten Appetit,0
3557,"Dann die Eier einzeln hinzugeben und gut unter die Nudelmasse rühren, bis sie stocken.",1
19978,Dazu passt Kartoffelpüree oder Baguette.,0
19680,Ich verwende alternativ auch oft Lachsforellenfilet oder Thunfisch.,0
18901,"Tipp:Die Suppe kann man sehr gut einfrieren – am besten, bevor Trüffelöl, Butter und Schlagsahne zugegeben werden.",0
2587,Über dem Spargel verteilen.,1
20357,Dazu schmeckt ein kühles Bier sehr gut.,0
20097,"Und wer das Gemüse weicher möchte, der nehme bitte die längeren Zeitangaben.",0
19949,Kein Salz kein Wasser dazu!!,0
2027,Die Scheiben aus dem Topf nehmen und beiseite stellen.,1
16880,Sauce,0
19917,Eignet sich in etwas kleineren Portionen super als Zwischengang.,0
14015,Dazu passt ein grüner Salat.,0
1108,Zwiebeln und Knoblauch in dem Öl anbräunen.,1
20186,Am besten mit der Form auf den Tisch stellen.,1
2111,"Die Kartoffeln schälen, in Scheiben schneiden und in eine Schüssel geben.",1
5093,"Mehl mit Salz vermischen, die trockengetupften Filets erst im Mehl und dann im (mit 2 EL Wasser) verquirlten Ei wenden und in ca. 40 g heißer Butter goldgelb braten.",1
20417,Die Gewürzkombination ist sehr orientalisch.,0
20299,"Die Päckchen werden verschlossen serviert, jeder darf seins selbst auspacken!",1
3399,"Das Olivenöl in einer Pfanne erhitzen und darin Frühlingszwiebeln, Knoblauch und Kreuzkümmel anbraten.",1
14270,Dazu passt eine Scheibe Brot mit Käse.,0
1403,"Wenn das Öl heiß ist, das Fleisch und Gemüse nach und nach hinzugeben und mit dem Fond ablöschen.",1
19937,840 kcal / Portion (6 Crêpes).,0
19693,"Dies ist das ""Spezialrezept"" unseres Opa Alois.",0
15964,"Vorsicht, sie verbrennen recht schnell!",0
19872,Mit der zweiten Hälfte des Fisches ebenso verfahren.,1
18686,Als Einlage für die Suppe eignet sich auch eine ganze Menge - einfach mal experimentieren oder im Netz nachschauen was andere machen.,0
15663,"Hierzu passt Dosenobst, Zwetschgenröster oder auch Apfelkompott.",0
19656,Das Paniermehl in einen anderen Teller tun.,1
19106,"Reis hineinstreuen und mitdünsten, bis er glasig ist.",1
19715,Tipp: Man kann auch anstatt Fisch Putenschnitzel nehmen.,0
2465,Dann das kalte Wasser dazugeben und die Masse durch ein feines Sieb in eine Schüssel drücken.,1
18306,"Tipp: Besonders lecker schmeckt der Eintopf, wenn er wieder aufgewärmt wird.",0
19891,Die Rehfilets und die Backpflaumen klein schneiden.2 feuerfeste Suppentassen oder Souffléförmchen,1
15228,Im Sommer riecht es aus allen Küchen nach diesem Gericht.,0
19988,Das Ganze soll schön saftig sein.,0
20438,Trauben abzupfen.,1
59,Alles entweder in Portionsstücke oder Scheiben schneiden.,1
5909,"Kompottfrüchte ( evtl. zerkleinern, z. B. die Pfirsiche) kurz darin schwenken und erwärmen.",1
19682,Den Schinken um den Rücken wickeln und wenn nötig mit Zahnstochern befestigen.,1
2237,Dann den Fond durchseihen.,1
2601,Die Putenrouladen in heißem Olivenöl ringsherum scharf anbraten und dann im vorgeheizten Backofen etwa 10-15 Min. zu Ende garen,1
15884,Tipp: Das Adani kebapi wird häufig zusätzlich mit einer Portion Bulgur serviert.,0
19932,"Wer eine gut beschichtete Pfanne besitzt, benötigt gar kein Öl.",0
200,Darauf das Fischfilet setzen.,1
19801,Dazu schmeckt ein Risotto.,0
235,"Die Masse längs in der Mitte der Schinkenscheiben verteilen, den Schinken einrollen.",1
20467,"Eine Tarte-, Wähen- oder Springform von 26 cm Durchmesser fetten und mit Paniermehl ausstreuen, den Teig zu einer Platte hineindrücken und einen Rand hochziehen.",1
18644,Lachs eignet sich hervorragend als Vorspeise für ein köstliches Festtagsmenü.,0
17117,Dazu passt Rotkohl und Klöße.,0
1739,"Die Pflanzensahne unterrühren und vorsichtig erhitzen (nicht aufkochen, da die Soße sonst gerinnen kann).",1
20401,"Tipp: Für das Originalrezept empfiehlt es sich, die Soße schon etwa ein bis zwei Stunden vor der Mahlzeit zuzubereiten, aber auch warm oder heiß ist sie ein Genuss.",0
183,Mit Thymian mischen.,1
20250,Auch können die Sardellenfilets gegen einen im Geschmack milderen Fisch ersetzt werden - oder auch gegen entsprechend vorbereiteten Stockfisch/Klippfisch.,0
19851,Die Tarte heiß mit einem knackigen Salat servieren.,1
4025,Die Zwiebeln und die Möhre darin anbraten.,1
291,Anschließend weitere 2 - 4 Stunden bei geschlossenem Deckel köcheln lassen.,1
246,"Mit Currypaste, Salz und Pfeffer würzen.",1
19556,"Mit dem Schneebesen durchschlagen, sodass keine Klümpchen entstehen.",1
19658,"Tipp:Gut schmeckt es auch, wenn man Champignons, Erbsen, Mais, Karotten oder andere Gemüsesorten zu gibt.",0
3431,Den Ofen auf 160 Grad vorheizen.,1
19548,Wird traditionell am Gründonnerstag gereicht.,0
20442,"Dazu passt ""Scharfer Pilau Reis mit Nüssen"".",0
19669,Am Schluss lässt man das Öl bei laufendem Mixer einfließen.,1
20191,Die gepellten Kartoffeln in der Speckpfanne schwenken und zum Salat servieren.,1
20122,"Die Soljanka muss ein paar Stunden stehen, bevor man sie isst.",0
2747,Zubereitung der Tortillas:Mehl und Salz in einer Schüssel vermengen.,1
19926,Heilbutt: Weiches Fleisch mit feinem aber etwas neutralem Geschmack.,0
3083,Die Fleischbrühe zugießen und zugedeckt 20 Minuten garen lassen.,1
767,Die gekochten Kartoffeln und Zwiebeln pürieren und wieder ins Kochwasser geben.,1
3315,Den Lachs waschen und trocken tupfen.,1
16087,Apfelmus passt auch gut zu diesem Gericht.,0
15550,Dazu passt ein grüner Salat und ein schöner Rotwein.,0
13940,Der Speck wird einfach mitgekocht.,1
234,"Statt Spargel und grünen Zwiebeln können auch Paprika, Zucchini oder Pilze genommen werden.",1
17860,Dieses Gericht kann sehr gut vorbereitet werden und eignet sich gut als Gästeessen.,0
20201,Gut passen z. B. auch Zucchini oder grüne Bohnen.,0
20488,Bei längerem Stehen wird der Porree grau.,0
20021,Dazu passt Ciabatta sehr gut.,0
18238,Die Streifen sollten eine ähnliche Höhe haben.,0
20284,Die Eier abkochen und zu dem Kartoffelsalat mit Bockwurst reichen.,1
3761,"Die Fleischbrühe durchseihen, wieder in den Topf geben und Kartoffeln und Möhren in der Brühe gar kochen.",1
1299,Mit der restlichen Kresse bestreuen und servieren.,1
20228,Das Fleisch gart von innen heraus und wirkt nach 2-3 Stunden noch roh;,0
2513,"Wenn alles schön angebraten ist, die Brühe und den Schmand dazugeben.",1
1601,"In der Pfanne erhitzt man das Fett und brät die Schnitzelchen mit der belegten Seite scharf an, so wird der Salbei kross.",1
14550,Tipp: Die Suppe kann sehr gut am Vortag zubereitet werden.,0
19595,"Tipp: die Semmelbrösel verbrennen nicht so leicht, wenn ihr gefettete Aluschälchen oder dicke Alufolie als Unterlage auf den Rost legt.",0
2459,Die Nudeln wie gewohnt in reichlich Salzwasser bissfest kochen.,1
20361,Die Fische schuppen falls bei der Sorte notwendig z. B. bei Doraden.,1
2441,Den Hals und die Flügelspitzen abschneiden und alles neben die auf die Brust gelegte Ente auf die Fettpfanne legen.,1
16684,"Je nach Geschmack nachwürzen und zu Brot, Pommes etc. mit einem frischen Salat servieren.",1
3719,Aus den übrigen Zutaten eine Marinade zubereiten und die Rippchen 2-3 Stunden darin marinieren.,1
19429,TIPP: Der Quark sollte gut gesalzen sein da die Kartoffeln nachher nicht gesalzen werden.,0
1235,Sie sollten goldbraun werden.,1
19338,"Die Sauce dann separat zum Salat reichen, passt auch gut zu Gegrilltem.",1
19572,Dazu schmecken Serviettenknödel oder selbst gemachte Spätzle.,0
20166,Salat zerteilen.,1
20223,"Wenn es passt, alles in einen Bräter schichten.",1
16866,Abtrocknen und mit dem Nudelholz glatt walzen.,1
14710,Dazu schmecken Butterkartoffeln oder Reis.,0
3443,"Bacon-Mix in einer mittelgroßen Schüssel mit dem Frischkäse, dem Mozzarella, der Petersilie und dem Parmesan vermengen und beiseite stellen.",1
14262,"Sollte sie zu flüssig sein, etwas Speisestärke in wenig kaltem Wasser anrühren und unter Rühren zur kochenden Soße geben, bis zur gewünschten Konsistenz.",1
1307,Die Frühlingszwiebeln und die Chilischoten in Streifen schneiden und hinzugeben.,1
19886,Toll passt dazu ein frischer Obstsalat oder Kompott.,0
70,"Mit Salz und Pfeffer würzen, mit Basilikum, Rauke und Parmesan bestreuen und sofort mit Essig beträufelt servieren.",1
20390,Abwandlung mit Champignons aus der Dose:Sie können anstelle der frischen Champignons auch 200 g abgetropfte Champignons aus der Dose verwenden.,0
18429,"Wichtig ist, dass er nicht austrocknet und wirklich frisch ist.",0
2675,"In kochendem Salzwasser 2-3 Minuten blanchieren, dann abgießen und abtropfen lassen.",1
20108,"Dazu passt hervorragend Blaukraut oder Sauerkraut, Wirsing- oder Kohlrabigemüse.",0
20240,Tipp: Schmeckt auch noch kalt sehr gut!,0
19632,Schweineschnitzel so platt wie möglich klopfen.,1
4253,Mit einem Esslöffel Puffer (Plätzchen) formen und diese nach und nach in einer Pfanne in Öl bei niedriger Hitze ausbacken.,1
169,Backofen auf 200 Grad vorheizen (Umluft 180 Grad),1
13786,Was man vorbereiten kann: Die Reduktion der Sauce kann bereits am Vorabend zubereitet werden.,0
14377,Dazu passt Vanillesoße.,0
16858,Dazu passt frisches Baguette.,0
14098,"Dazu passen: Brot, Nudeln, Reis und vieles mehr.",0
20391,"Olivenöl untermischen, bis die gewünschte Konsistenz erreicht ist.",1
1577,Zwiebeln und Knoblauch 5 Minuten im Topf mit dem Olivenöl anbraten.,1
3392,"Tipp: Auf das Backpapier noch etwas Mehl geben, so dass man die Calzone später besser zusammenklappen kann.",0
1145,"Spargel aus der Pfanne nehmen und auskühlen lassen, mit den restlichen Zutaten vermischen.",1
1789,Für die Sauce die Zwiebeln fein würfeln und in 1 EL Butter glasig dünsten.,1
1703,Die Möhren schälen und in beliebige Stücke schneiden.,1
3413,Das Mehl mit Salz und Zucker mischen.,1
20358,"Schon der Duft, der aus dem Ofen kommt - himmlisch.",0
2039,Die Schalotten im restlichen Öl hellbraun braten.,1
19754,Die Speckschwarte zulegen.,1
3395,Auf die Fettpfanne vom Backofen legen.,1
1259,Zum Schluss die Sahne dazugeben und mit den Gewürzen abschmecken.,1
14332,Auf diese letzte Schicht verteilt man noch den Rest vom Schmand (sollte reichlich sein).,1
20087,Dazu passt ein Selleriepüree.,0
16334,Croutons separat reichen.,1
20449,Reis schmeckt dazu prima.,0
4925,Die Soße gut nach Geschmack würzen und auf kleine Flamme zurückschalten und ½ Stunde köcheln lassen.,1
17356,Dazu reichen wir Baguette oder Roggenbrötchen.,0
5465,Nach dem Beizen den Fisch von den Gewürzen befreien.,1
2755,Ausstecher entfernen.,1
15452,Dazu passt ein kleiner frischer Salat.,0
20027,"Alternative Beilage:Brokkoliröschen, ferner Baguette oder Bandnudeln.",0
43,Das Fleisch zufügen und anbraten.,1
15424,"Und achten Sie darauf immer frischen Fisch zu kaufen, am besten sagen Sie dazu, dass Sie Sushi machen wollen.",0
15886,"Passt sehr gut zu Grillfleisch, vor allem Lamm oder Rind.",0
2411,Die Frühlingszwiebeln klein schneiden.,1
19875,"Sind diese Dinge vorbereitet, ist der Rest eine Sache von wenigen Minuten.",0
19691,Dazu passt Brot und Rotwein.,0
19644,Die Kresse abbrausen und trocknen.,1
19733,Zitronenschale abreiben und Zitrone pressen.,1
18721,Dazu passt hervorragend ein trockener Weißwein.,0
4889,"Mit Kreuzkümmel, Salz und Pfeffer würzen.",1
20482,Dann mit der Gabel auflockern - das Getreide soll locker krümelig sein.,1
19752,Dazu empfehle ich Baguette und einen frischen Salat.,0
18868,"Als Beilage Kroketten oder Kartoffelplätzchen, Rotkohl mit Johannisbeergelee oder Rosenkohl mit Esskastanien reichen.",1
18840,"Man kann diesen Eintopf zu kurzgebratenem Fleisch oder, wie wir es lieben, zu dünnen, panierten Schnitzelchen essen.",0
20274,"Tipp: Schmeckt am nächsten Tag noch besser, da noch besser durchgezogen.",0
2853,Schnitzel darin von jeder Seite 1-2 Minuten kräftig anbraten.,1
18479,"Da meine Gericht ww-ggeignet sind, können die Zutaten wie Schafskäse, Öl und Oliven jederzeit dem eigenen Bedarf angepasst bzw. erhöht werden!",0
19670,Beilagen: Mit viel Zwiebeln gekochter Reis oder Reiskugeln (= bolinhos de arroz).,0
17407,Als Beilage passt Blattsalat.,0
13772,"Pellkartoffeln schon am Vortag kochen, abgekühlt schälen, aber noch ganz lassen, und am besten mit einem sauberen Tuch abgedeckt kühl stellen",1
3113,"Mit Salz, Pfeffer und Chiliflocken würzen.",1
19726,Es sollten ca. 1.5 cm Flüssigkeit im Bräter sein.,0
20372,Sehr gut passen Kartoffelpüree oder Selleriepüree dazu.,0
19524,"Ist gut zu rohen, in wenig Öl gebratenen Scheibenkartoffeln oder Ofenkartoffeln zu essen!",0
20435,Tipp: Die Eiernockerl schmecken auch sehr gut mit anderem Gemüse und sind daher ideal zum Verarbeiten von Gemüseresten.,0
14648,"Tipp: nicht alle Maronen gleichzeitig aus dem Wasser nehmen und abkühlen lassen, denn im abgekühlten Zustand lässt sich die Haut zwischen Schale und der Marone nicht mehr abziehen.",0
5741,"Rouladen mit dem Handballen leicht klopfen, mit Öl einreiben, pfeffern und mit Senf bestreichen.",1
16138,"Das Harissa vorsichtig verwenden, da es sehr scharf sein kann.",1
20071,Man beginnt mit der Tomatensauce.,0
2,Nach ca. 4 Minuten Wirsing zufügen.,1
20135,Dazu passt gemischter Blattsalat.49,0
19807,"Dazu schmeckt Ciabatta, Wildreis oder Linguine.",0
19742,"Wer nicht nach den Kalorien schaut, kann statt Milch auch Sahne oder halb-halb nehmen.",0
15060,Viel Spaß beim Nachkochen!,0
2153,"Die Spitzmorcheln gründlich waschen, putzen und nach 10 Min. zugeben.",1
16572,"Das Gemüse sollte gar sein, aber noch Biss haben, die Kartoffeln sollten gut gebräunt sein.",0
1421,"Zwiebel schälen, fein würfeln.",1
1873,"Mit Salz, Pfeffer, scharfem Paprikapulver und 1/2 Tl.",1
19607,Dabei immer wieder wenden.,1
18854,Als Beilage Wildreis und grünen Salat servieren.,1
19797,"Dabei wird sie so sämig, dass kein Saucenbinder benötigt wird.",0
19599,Sollte kräftig schmecken!,0
19711,Dazu passt Baguette oder einfach ein paar Scheiben Brot.,0
20099,Tipp 2:Das Gulasch lässt sich auch prima wieder aufwärmen (und schmeckt dann noch besser).,0
3671,"Die Äpfel schälen, halbieren, die Kerngehäuse entfernen und das Fruchtfleisch in feine Scheiben schneiden.",1
19981,Das Sauerkraut sollte nicht zerkochen.,0
20301,Dazu passt super ein Feldsalat.,0
281,Den Ofen auf 200°C vorheizen.,1
20313,Rezept ist von saba28 aus dem Forum.,0
19753,Den Kohl + Paprikaschoten + Hüttenkäse + Kräuter + 4 El Tamari sowie 4 El Balsamico unter den fertigen Reis mischen.4,1
4289,Derweil Knofi u. Schalotten schälen u. mit ca. 6 EL Olivenöl in einer Pfanne erhitzen und dann die Kartoffeln darin kurz andünsten und in einen große Schmorpfanne geben.,1
19833,"Sollten sie sehr groß sein, müssen sie halbiert werden.",1
3005,Die Sauce mit Salz abschmecken mit dem in schräge Scheiben geschnittenen Fleisch zu frischen Nudeln oder einfach zu frisch gebackenem französischen Weiß- oder Landbrot servieren.,1
2093,"Die Zwiebeln mit der Schale halbieren und in 1,5 L Wasser mit den Lorbeerblättern und den Pfefferkörnern aufkochen.",1
20203,"Mit frischem Obst, z.B. Mangos oder Pfirsichen, geht es aber natürlich auch.",0
15564,"Dies ist eine feine Variante für den Wochenanfang, wenn man am Wochenende viel Fleisch verzehrt hat.",0
19705,"Sauce:Schalotten pellen, dabei darauf achten, dass der Wurzelansatz nicht mit abgeschnitten wird.",1
20171,Dazu passt ein leichter Weißwein und Baguette.,0
17601,"Anmerkung der Rezeptbearbeitung: In vielen Kommentaren wird empfohlen, das Wasser wegzulassen und nur eine halbe Dose Kokosmilch zu verwenden, da das Gericht sonst zu flüssig wird.",0
2165,"Das Fleisch zuerst in Mehl, dann in der Kartoffelmasse wenden und in heißer Butter goldbraun backen",1
18865,Dazu passt grüner Salat oder Feldsalat.,0
653,Dann das Hackfleisch zufügen und leicht anbraten.,1
25,"In einem gusseisernen Bräter in einem Esslöffel Gänseschmalz zunächst die Zwiebeln andünsten, aber nicht bräunen, zum Schluss den Knoblauch kurz mitdünsten, aus dem Fett nehmen und beiseite stellen.",1
20429,Dazu essen wir gern etwas Gurken- oder Möhrensalat.,0
20043,"Variationen:Zum Würzen eignen sich u. a. auch: Knoblauch, Oregano, Chili-Gewürz, Cayennepfeffer, Cumin/Kreuzkümmel, Harissa, Thymian o. ä. - sowie 1 Prise Zucker.",0
20076,"Eine ofenfeste 1,3 Liter Form mit den Speckscheiben auskleiden.",1
19789,Dazu passt Weißbrot oder ein Langkornreis.,0
3227,Mit den Mozzarella-Kügelchen bestreuen.,1
3827,"Kohlrabi putzen, schälen, waschen, in Würfel schneiden.",1
20160,"Als Zugabe gibt es noch ein Paar Wiener, die gleich in der Suppe mit erhitzt werden.",0
20106,Auflauf auf mittlerer Schiene je nach gewünschter Bräunung,0
2549,Eventuell mit Wasser auf 1/2 Liter auffüllen.,1
14623,Tipp:Ohne Kartoffelschuppen ist das ein schönes Trennkostgericht.,0
20001,Dazu macht Fabio für sein Festtagsmenü eine Cassis-Jus.,0
17307,Tipp: Schweinekotelett darf ruhig mit Fett durchzogen sein und einen kleinen Speckrand haben.,0
2293,"Kichererbsen mit 2 EL Wasser pürieren, mit Ingwer, Knoblauch und Salz würzen.",1
1505,Den gesamten Käse reiben und vermengen.,1
1831,"Am Schluss den Estragon beifügen und die Sauce mit Zucker, Salz und Pfeffer abschmecken.",1
19277,Dazu passt Ciabatta oder Baguette.,0
19736,"Tipp:Man kann die Heringe ein bis zwei Std. in Mineralwasser einlegen, dann ist der Ölgeschmack weg.",0
199,Die Brötchen einweichen und gut ausdrücken.,1
19919,Dazu passt Salat.,0
259,Fertig braten.,1
1453,"Rahm, Eigelb und geriebenen Käse verquirlen.",1
1913,Anschließend die Sahne zugeben und aufkochen lassen.,1
6041,Für das Püree den Blumenkohl putzen und in Salzwasser garen.,1
16320,Dann sollten Rippchen fertig sein.,0
3125,Mit einem Teller bedecken und in der Mikrowelle bei höchster Stufe ca. 14 Minuten garen.,1
833,"Das Fleisch kurz in einer Pfanne mit etwas Olivenöl von allen Seiten anbraten, bis es zartbraun ist, und anschließend mit der Kräutercreme gleichmäßig bestreichen",1
14509,Dazu passt ein gemischter Salat.,0
14781,Tipp:Eignet sich auch zur Resteverwertung.,0
255,"Mit Steakgewürz würzen (wenn nicht zur Hand, Salz Pfeffer, Paprika- und Chilipulver).",1
19773,"Wenn das Sojageschnetzelte gut angebraten ist (jetzt ist auch eine gute Zeit, die Nudeln aufzusetzen), das Tomatenmark in die Pfanne geben und mit dem Soja-Gemüse-Mix verrühren.",1
3497,"Kartoffeln schälen und in knapp 1/2 cm dicke Scheiben schneiden, im Salzwasser einmal aufkochen und 5 Min. ziehen lassen!",1
1131,"Mit einer Mischung aus Zitronensaft, Kräutern, Cognac, Salz, Pfeffer und Öl mind. 20 Minuten marinieren.",1
4181,"Dann 50 g Paprikapulver dazugeben, kurz umrühren und sofort mit etwas Fleischbrühe oder Wasser, dem der Aceto Balsamico beigefügt wird, ablöschen.",1
19622,"Dazu schmeckt Süßkartoffelpüree, Reis oder einfach Baguette.",0
15200,"Wie das gut klappt, zeigt euch Fabio im Video.",0
1511,1 Apfel in Stücke schneiden und in den Bauch des Karpfens stopfen.,1
19036,"Der Geschmack von frischen Steinpilzen stellt alle anderen mir bekannten Sorten in den Schatten, auch Pfifferlinge, Rotkappen, Birkenpilze erzeugen nicht diesen lukullischen Lustgewinn.",0
1691,Nun die Hitze reduzieren und mit Sherry und Limettensaft ablöschen.,1
16474,Beilage: Dazu schmeckt Fladenbrot besonders gut.,0
17216,Die Mengenangaben lassen sich auch gut für größere Runden hochrechnen.,0
13828,Die Fischkarkassen abwaschen.,1
19897,Eine leichte Pilzsoße stelle ich mir auch passend dazu vor.,0
3469,Die Lauchzwiebeln in Ringe schneiden.,1
1001,"Einem Topf mit Öl erhitzen und das Gemüse, außer den Kartoffeln, unter gelegentlichem Rühren fünf bis sieben Minuten sanft anbraten.",1
20356,"Außerdem ist es richtig scharf, da die Paste schon aus Chilis besteht, für süße Zungen frische Chilischoten weglassen.",0
2351,Mit Salz und Pfeffer abschmecken und mit gehackter Petersilie und Bohnenkraut bestreuen.,1
19881,Aus jeder Portion mit feuchten Händen ein eiförmiges Klößchen formen.,1
15611,"Dazu passt Reis, aber auch gefülltes Stangenweißbrot.",0
18655,"Tipp: Wenn man ordentlich Pfeffer und Curry nimmt, gibt es einen schönen scharf-süßlichen Geschmack!",0
17580,Viel Spaß mit dem Rezept.,0
15182,Dazu passt ein frisches Bauernbrot und ein kühles Bier.,0
2567,"Malzextrakt mit kochendem Wasser verrühren, bis sich der Malzextrakt vollständig aufgelöst hat.",1
19486,Dazu passt ein bunter Salat und Baguette.,0
19725,"Der Braten: Eine Karotte, eine Scheibe Sellerie und das Weiße von einem Porree in feine Streifen schneiden.",1
15797,Jede Portion mit einem gehäuften Löffel der Garnierung ihrer Wahl anrichten und servieren.,1
19907,"Dazu passt Reis, Nockerln oder Salzkartoffeln.",0
20177,"Formen Sie aus dem Hackfleischteig kleine Bällchen, die etwa so groß wie die Rosenköhlchen sind.",1
19971,Teigrand etwas hochziehen;,1
16362,Beilage: Dazu Kroketten und knusprig gebratene dünne Speckscheiben (geräucherter Bauchspeck) servieren.,1
20394,Dazu passt Baguette besonders gut zum Auftunken der Marinade und ein grüner Salat.,0
20323,Nach der Marinierzeit werden die Kaninchenstücke dann von allen Seiten schön angebraten.,1
252,Schweinebraten mit Salz und Pfeffer einreiben.,1
1635,Möhre und Zwiebel schälen und in Stücke geschnitten über dem Fleisch verteilen.,1
20430,"Kochen, bis Gemüse und Nudeln gar sind.",1
5513,"In der Zwischenzeit Rucola waschen, trocknen und in mundgerechte Stücke zupfen.",1
19871,Ich selbst filetiere den Karpfen und mache beide Teile fertig.,0
18532,Dazu passt auch Reis oder Baguette.,0
20427,"Tipp: sollte etwas von der Füllung übrigbleiben, die Zutaten zusammen mit dem Ei, das zum Panieren benötigt wurde, vermischen und zum Schluss in einer Ecke der Pfanne als Rührei mitbraten.",0
20422,"Die Tauben dürfen nicht zu prall gefüllt werden, da die Füllung beim Braten noch aufgeht!",0
16013,"Den Salat mit ¾ der Vinaigrette, Tomaten und Orangensegmenten anrichten.",1
20026,Zunächst sollte euer Pizzateig schon hoch gegangen sein.,0
19512,"Als Beilage wird in Tunesien ein Fladenbrot gereicht, Baguette tut es aber auch.",0
19580,Eigentlich ist die Suppe für vier Personen gedacht.,0
509,Das Mehl zufügen und gut verrühren.,1
2387,Die Zwiebel im Bräter andünsten und anschließend mit dem 1/2 l Rotwein ablöschen.,1
13918,"Tipp: Kann auch überbacken werden, z.B. mit Ricotta.",0
3779,Das Pilzgemüse mit den Gewürzen abschmecken und die frischen Kräuter mit hinzugeben.,1
17895,"Tipp:Wer nicht so auf die Kalorien achtet, der kann statt Blattspinat auch Rahmspinat oder Würzspinat verwenden!",0
20338,"(Da gab’s bei mir nicht, erst meine Kinder bekamen die Butter dazu)",0
17804,Es soll keine Farbe annehmen.,0
20115,Durch jedes Medaillon einen halben Zitronengrasstängel auf dem Holzspießchen durchstecken.,1
1211,"Das gare Fleisch herausnehmen, den Bratenfond durchseihen und mit Stärkemehl binden.",1
18909,Dazu passt Mandel-Brokkoli und Rösti,0
3857,Sonnenblumenöl im Wok erhitzen und die Karotten zugeben.,1
3623,Diese Mischung zum Getreide geben.,1
19554,Die Raspel mit Küchenpapier gut trockentupfen.,1
14024,"Die Portionen und die Menge der einzelnen Zutaten hängt von der Pilzmenge ab, die man gefunden hat.",0
